INPEX_File,INPEX_Desc_Preview,Rank,Similarity_Score,Matched_External_Category,Matched_External_Description
IEA2024-Fundingofstart-ups_metadata.csv,This set of indicators focuses on the level of investment allocated to start-ups in the energy secto...,1,0.4076,Financial,"""This dataset contains longitudinal, mixed-method data collected from 40 early-stage ventures in Egypt, Indonesia, and Brazil between 2018 and 2024. It captures how entrepreneurs balance financial and environmental, social, and governance (ESG) goals during venture inception, post-seed investment, and scale-up phases. Data include (1) structured interview responses covering goal-setting and learning routines, (2) survey responses measuring early goal imprinting, entrepreneurial learning routines, goal reconciliation perception, and performance indicators, and (3) qualitative coding outcomes for thematic analysis. This dataset enables exploration of the relationships among early goal orientation, learning practices, goal integration, and venture performance in diverse emerging economy contexts."""
IEA2024-Fundingofstart-ups_metadata.csv,This set of indicators focuses on the level of investment allocated to start-ups in the energy secto...,2,0.3899,Machine Learning,"Clean energy technologies, encompassing renewable resources like solar, wind, and hydropower, are essential in the global effort to reduce greenhouse gas emissions and combat climate change. As the globe prepares to transition away from fossil fuels, understanding the factors and parameters influencing the penetration of clean energy into existing energy markets has become a critical step. Controversies surrounding the environmental impacts of renewable technologies, variability in market structures, and economic pressures on clean energy companies can complicate this transition. Thus, resources must be focused in the right areas to ensure the growing demand for sustainable energy solutions is being met adequately. Strategic investments in high-potential parameters, alongside targeted policy interventions and technological advancements, can maximize the impact of clean energy initiatives while ensuring long-term sustainability and economic viability. This study leverages machine learning models to analyze and focus on geographic as well as policy-driven parameters that have influenced clean energy adoption over the past few years, focusing on various regions in New York State. Key parameters analyzed include solar and wind potential, average energy prices, subsidy amounts, grid capacity, public awareness, renewable and fossil energy market shares, and policy support indices. Despite challenges such as market variability and infrastructure limitations, this research offers a data-driven blueprint to bridge demand-supply gaps and guide policymaking, making sure energy investments are focused in the right areas, fostering a sustainable energy future."
IEA2024-Fundingofstart-ups_metadata.csv,This set of indicators focuses on the level of investment allocated to start-ups in the energy secto...,3,0.3803,Demographic,"""Three region-specific datasets representing urban (Toronto), semi-urban (Kingston), and rural (Sarnia) Ontario communities are provided to perform the case studies. Each dataset captures the sectoral electricity demand (residential, commercial, and industrial), derived from the Independent Electricity System Operator (IESO) data and adjusted by Forward Sortation Area (FSA) codes. Hourly consumption patterns are scaled to reflect demographic and geographic conditions, while long-term demand growth projections are incorporated to 2050. These datasets provide realistic demand profiles for different community types, ensuring that the proposed formulation can be tested under diverse load conditions and regional characteristics. This design enables verification of the framework\u2019s efficiency in evaluating feasible energy transition pathways across contrasting system contexts."""
IEA2024-Fundingofstart-ups_metadata.csv,This set of indicators focuses on the level of investment allocated to start-ups in the energy secto...,4,0.3773,Artificial Intelligence,"With the development of a new round of technological change and industrial revolution, future industries are becoming key to countries’ efforts to seize the scientific and technological high ground and compete for industrial dominance. These industries are driven by technological innovation and developed based on industrial integration. Against this background, existing research fails to address the question of how future industrial enterprises can achieve innovative development. Therefore, we combine the technology–organization–environment analytical framework&nbsp;with data envelopment analysis and fuzzy qualitative comparative analysis methods. Represented by the Artificial Intelligence Generated Content(AIGC)&nbsp;industry, this study explores the synergistic impact of technological innovation, cross-border integration of technologies, specialization in division and diversification of&nbsp;operations, digital infrastructure environment, government policy subsidies, and the degree of industrial association&nbsp;on the development of future industrial innovations based on the industrial interconnection.&nbsp;"
IEA2024-Fundingofstart-ups_metadata.csv,This set of indicators focuses on the level of investment allocated to start-ups in the energy secto...,5,0.3755,Demographic,"""AbstractThis dataset presents a consolidated view of India\u2019s economic and entrepreneurial landscape between 2018 and February 2025, integrating multiple official sources including the 7th Economic Census (2019), All India Debt &amp; Investment Survey, MSME registration statistics from the Udyam Registration Portal, social category\u2013wise enterprise participation data, and Public-Private Partnership&nbsp; records. The dataset captures critical indicators such as non-farm economic activity, household asset ownership patterns, MSME growth trends, export-linked enterprise registration, and the demographic distribution of entrepreneurs across Scheduled Castes (SC), Scheduled Tribes (ST), Other Backward Classes (OBC), and General categories.By combining census-level data with sectoral performance metrics, the dataset provides a unique resource for understanding structural shifts in India\u2019s micro, small, and medium enterprise (MSME) ecosystem and the broader economic environment. Researchers, policymakers, and analysts can utilize this dataset to examine trends in entrepreneurship inclusiveness, sectoral expansion, social equity in business ownership, and the impact of public-private collaborations. The multi-dimensional nature of the data supports comparative analyses across social groups, economic activities, and time periods, offering valuable insights for economic policy design, targeted interventions, and sustainable enterprise growth."""
IEA2024-Numberofstart-ups_metadata.csv,The first set of indicators is related to start-up creations. Those indicators will give a measure o...,1,0.4945,Financial,"""This dataset contains longitudinal, mixed-method data collected from 40 early-stage ventures in Egypt, Indonesia, and Brazil between 2018 and 2024. It captures how entrepreneurs balance financial and environmental, social, and governance (ESG) goals during venture inception, post-seed investment, and scale-up phases. Data include (1) structured interview responses covering goal-setting and learning routines, (2) survey responses measuring early goal imprinting, entrepreneurial learning routines, goal reconciliation perception, and performance indicators, and (3) qualitative coding outcomes for thematic analysis. This dataset enables exploration of the relationships among early goal orientation, learning practices, goal integration, and venture performance in diverse emerging economy contexts."""
IEA2024-Numberofstart-ups_metadata.csv,The first set of indicators is related to start-up creations. Those indicators will give a measure o...,2,0.4635,Demographic,"""AbstractThis dataset presents a consolidated view of India\u2019s economic and entrepreneurial landscape between 2018 and February 2025, integrating multiple official sources including the 7th Economic Census (2019), All India Debt &amp; Investment Survey, MSME registration statistics from the Udyam Registration Portal, social category\u2013wise enterprise participation data, and Public-Private Partnership&nbsp; records. The dataset captures critical indicators such as non-farm economic activity, household asset ownership patterns, MSME growth trends, export-linked enterprise registration, and the demographic distribution of entrepreneurs across Scheduled Castes (SC), Scheduled Tribes (ST), Other Backward Classes (OBC), and General categories.By combining census-level data with sectoral performance metrics, the dataset provides a unique resource for understanding structural shifts in India\u2019s micro, small, and medium enterprise (MSME) ecosystem and the broader economic environment. Researchers, policymakers, and analysts can utilize this dataset to examine trends in entrepreneurship inclusiveness, sectoral expansion, social equity in business ownership, and the impact of public-private collaborations. The multi-dimensional nature of the data supports comparative analyses across social groups, economic activities, and time periods, offering valuable insights for economic policy design, targeted interventions, and sustainable enterprise growth."""
IEA2024-Numberofstart-ups_metadata.csv,The first set of indicators is related to start-up creations. Those indicators will give a measure o...,3,0.4453,Machine Learning,"Crowdfunding helps SMEs and entrepreneurs secure financing, but many projects fail. This study examines how technological features of crowdfunding platforms, specifically advanced analytics and visual tools, influence project success.Using data from 2,285 projects (2022–2024) on Chinese platforms Xiaomi Youpin, Modian, and Zaodian Xinhuo, we apply a Random Forest model to identify key predictors of success. We employ the Investment Attractiveness Matrix to visualize relationships among project innovativeness, risk, and success rates.Our findings indicate that technological features significantly enhance success rates. The Random Forest model highlights critical factors such as project quality signals and social capital. The Investment Attractiveness Matrix aids creators in strategically positioning their campaigns.This research contributes by integrating machine learning and visual analytics into crowdfunding studies, offering a novel approach. It extends the Resource-Based View by demonstrating that technological resources are critical capabilities for platforms. Applying Signaling and Social Capital theories, we show how presentation and networks impact success.Practically, the study provides insights for platforms and project initiators to optimize strategies through advanced analytics."
IEA2024-Numberofstart-ups_metadata.csv,The first set of indicators is related to start-up creations. Those indicators will give a measure o...,4,0.4251,Artificial Intelligence,"""This dataset includes original data gathered to study how adopting Artificial Intelligence (AI) affects business sustainability, along with important factors that influence this relationship. The dataset includes measurement items related to AI adoption, CP, IED, and business sustainability (BS). All items were measured using a 5-point Likert scale ranging from 1 (Strongly Disagree) to 5 (Strongly Agree). Structured questionnaires collected data from respondents in B2B enterprises, ensuring the reliability and validity of constructs through established scales from prior literature."""
IEA2024-Numberofstart-ups_metadata.csv,The first set of indicators is related to start-up creations. Those indicators will give a measure o...,5,0.4120,Machine Learning,"""This dataset contains survey responses from 150 data scientists examining the success determinants of machine learning (ML) projects using the Machine Learning Canvas (MLC) framework. The MLC is a visual planning tool that adapts business model canvas principles to ML projects, integrating four key dimensions: Strategy (task definition, data specification, target setting), Process (data preprocessing and model development activities), Ecosystem (infrastructure and deployment capabilities), and Support (organizational resources and leadership).The dataset includes Likert-scale measurements (1-5) for each construct dimension, along with project success indicators based on the Iron Triangle framework (performance goals, business objectives, and stakeholder satisfaction). Respondents represent various industries including fintech, education, AI, and telecommunications, with 67% being employed professionals. The data enables structural equation modeling (SEM) analysis to understand the cascading relationships between organizational support, strategic clarity, structured processes, ecosystem quality, and ML project success. This dataset is particularly relevant for researchers studying ML project management, MLOps adoption, and the impact of organizational factors on technical project outcomes in the era of AI-assisted development."""
FORGE_Well_Lith_Logs_2018_metadata.csv,"This submission includes lithology logs for all Fallon FORGE area wells; determined from core, cutti...",1,0.4709,Machine Learning,"Well logs are interpreted/processed to estimate the in-situ reservoir properties (petrophysical, geomechanical, and geochemical), which is essential for reservoir modeling, reserve estimation, and production forecasting. The modeling is often based on multi-mineral physics or empirical formulae. When sufficient amount of training data is available, machine learning solution provides an alternative approach to estimate those reservoir properties based on well log data and is usually with less turn-around time and human involvements."
FORGE_Well_Lith_Logs_2018_metadata.csv,"This submission includes lithology logs for all Fallon FORGE area wells; determined from core, cutti...",2,0.3885,Image Processing,"In underground mining process, the evolution of fissures, fractures, and breakages in overlying rock strata can lead to water inrush and many other serious risks including rock bursts, roof collapses, and ground subsidence. Since directly observing strata behavior is challenging, downscaled similar material simulations are often relied upon as a proven effective method for strata pattern analysis. Traditionally, mere visual inspection or stress and displacement monitoring of the simulation have been employed for risk analysis and often causes imprecise and subjective interpretations. With recent advancements in deep learning image processing models which enabled quantitative studies on variation dynamics of image sequences, this study proposes a novel method for analyzing strata behavior patterns by applying the spatiotemporal data feature extracting capability of the ConvLSTM model on a carefully conducted similar material experiment. The approach involves reconstructing the pre-processed image sequence data using ConvLSTM, thereby predicting and enhancing visual inspection by dynamically highlighting major strata fracture and breakage evolvements. Critical periods of rapid strata behavior are also reliably identified by thresholding the reconstruction errors. Additionally, high-risk areas in each critical period are delineated using image differentiation and the fast Non-local Means (NLM) denoising algorithm. While other applicable models including ConvLSTM-AutoEncoder (ConvLSTM-AE) and TCN-AutoEncoder (TCN-AE) also perform well, the predictive ConvLSTM model stands out with its superior reconstruction visual distinctiveness and model stability in the analysis. Withprovided valuable spatiotemporal information for understanding mining-induced strata behavior patterns, the obtained promising results offer precise dynamic guidance on predicting the formation of water inflow channels."
FORGE_Well_Lith_Logs_2018_metadata.csv,"This submission includes lithology logs for all Fallon FORGE area wells; determined from core, cutti...",3,0.3797,Geoscience and Remote Sensing,"Depths to the various subsurface anomalies have been the primary interest in all the applications of magnetic methods of geophysical prospection. Depths to the subsurface geologic features of interest are more valuable and superior to all other properties in any correct subsurface geologic structural interpretations. The varied nature of the subsurface geological terrains in the study area as obtained from the data, were delineated from the enhanced georeferenced airborne magnetic datasets with the primary objective of enhancing the signatures of the subsurface structural and lithologic boundaries associated with joints; major and minor faults, rock contacts and fractures underained the Omu-aran schist belt zone. About 343,982 enhanced georeferenced data points, made up of 100 m interspacing between the data points utilising the 3x3 window size were used to suitably map the region across the land area of about 30,568.7 km2. Six structural index values varied from between 0.5-3.0 were delineated with a maximum depth to the magnetic source rocks bodies at about 1.277 km."
FORGE_Well_Lith_Logs_2018_metadata.csv,"This submission includes lithology logs for all Fallon FORGE area wells; determined from core, cutti...",4,0.3797,Geoscience and Remote Sensing,"Depths to the various subsurface anomalies have been the primary interest in all the applications of magnetic methods of geophysical prospection. Depths to the subsurface geologic features of interest are more valuable and superior to all other properties in any correct subsurface geologic structural interpretations. The varied nature of the subsurface geological terrains in the study area as obtained from the data, were delineated from the enhanced georeferenced airborne magnetic datasets with the primary objective of enhancing the signatures of the subsurface structural and lithologic boundaries associated with joints; major and minor faults, rock contacts and fractures underained the Omu-aran schist belt zone. About 343,982 enhanced georeferenced data points, made up of 100 m interspacing between the data points utilising the 3x3 window size were used to suitably map the region across the land area of about 30,568.7 km2. Six structural index values varied from between 0.5-3.0 were delineated with a maximum depth to the magnetic source rocks bodies at about 1.277 km."
FORGE_Well_Lith_Logs_2018_metadata.csv,"This submission includes lithology logs for all Fallon FORGE area wells; determined from core, cutti...",5,0.3797,Geoscience and Remote Sensing,"Depths to the various subsurface anomalies have been the primary interest in all the applications of magnetic methods of geophysical prospection. Depths to the subsurface geologic features of interest are more valuable and superior to all other properties in any correct subsurface geologic structural interpretations. The varied nature of the subsurface geological terrains in the study area as obtained from the data, were delineated from the enhanced georeferenced airborne magnetic datasets with the primary objective of enhancing the signatures of the subsurface structural and lithologic boundaries associated with joints; major and minor faults, rock contacts and fractures underained the Omu-aran schist belt zone. About 343,982 enhanced georeferenced data points, made up of 100 m interspacing between the data points utilising the 3x3 window size were used to suitably map the region across the land area of about 30,568.7 km2. Six structural index values varied from between 0.5-3.0 were delineated with a maximum depth to the magnetic source rocks bodies at about 1.277 km."
usretechnicalpotential_metadata.csv,Renewable energy technical potential as defined in this report represents the achievable energy gene...,1,0.5674,Other,"""This dataset contains a five-year, hourly resolution synthetic electric load and net load dataset generated by using ISO-NE historical datasets and mapped to the IEEE 39 bus benchmark system. The dataset provides region and bus level active (P) and reactive (Q) power profiles for keeping realistic seasonal patterns and regional correlations. The dataset also contains multiple renewable energy penetration scenarios such as 12%, 20%, 25%, and 30% and load only analysis to make comprehensive analysis of system performance under varying renewable shares. The generated dataset is suitable for load and renewable energy forecasting, renewable energy integration studies, time-series analysis, optimal power flow &nbsp;and economic dispatch, data-driven optimization and control, and many other power system studies."""
